product_id,title,cogs
10206964777255,Peaches - 100ml,
10206971134247,White Jazz - 100ml,
10206980014375,Love Drunk - 100ml,
10206992990503,Lights Off - 100ml,
10206995022119,Golden Oud - 100ml,
10206999773479,Vetiver Oud - 100ml,
10207000199463,Oud Honey - 100ml,
10207001411879,Ivory Oud - 100ml,
10228702183719,Love Drunk - 8ML Perfume Oil,
10228702675239,Lights Off - 8ML Perfume Oil,
10261833056551,The Love Drunk Ritual,
10261834891559,Your + 1,
10261835579687,Main Character Combo,
10261835809063,Founder's Pick,
10261836202279,You and Me Combo,
10261836595495,The Dubai Drop,
10261836988711,"""Gatekeep This""",
10261837152551,BLABLIBLU Travel Pack of 4 perfumes,
10261838037287,Try Them All,
10261838332199,IT Couple Aesthetic,
10261839970599,Couple Goals Flex,
10261840625959,Bestseller Bodywash Combo,
10261843837223,Grind o'clock.,
10261844394279,Wash Off your Ex,
10261844951335,"Fresh Morning, Drunk Evening",
10261845737767,Trauma cleanse,
10261847769383,Bro Code Bundle,
10261848195367,Bestseller Bundle,
10262262841639,Off Duty - 100ml,
10266528645415,Midnight Cruise Car Perfume - 40ML,
10266529038631,Backseat Confessions Car Perfume - 40ML,
10266529268007,Passenger Princess Car Perfume - 40ML,
10266529530151,One Hand Drive Car Perfume - 40ML,
10268444590375,DEAL 13,
10268445737255,DEAL 14,
10268447113511,The Dubai Drop,
10268448325927,Bestseller Combo,
10268449734951,DEAL 17,
10268451438887,FLASH 13,
10273441612071,Aquatic Duo,
10274453061927,The Dubai Drop,
10277747294503,By the Beach Body Wash | 250ML,
10283350262055,Founder's Pick,
10283403804967,The Dubai Drop,
10288382247207,Oud Unisex Perfume Gift Set For Men & Women  - 3 x 30ml,
10288382902567,Perfume Gift Set For Women - 3 x 30ml,
10288383230247,Perfume Gift Set For Men - 3 x 30ml,
10290086740263,Cookie Crush Body Wash | 250ML,
10296986468647,Self Made Body Wash | 250ML,
10330011369767,Siblings Medal + Stickers,
10330012156199,Siblings Medal + Stickers,
10335026217255,Evil Eye Handmade Rakhi,
10347822088487,On the Hills,
10347826676007,Afternoon Shower,
10347827560743,Hustlr,
10347828183335,Cotton Kisses,
10353807229223,Happy Banana - 75ml,
10353813094695,Berry Baddie - 75 ML,
10353818960167,Watermelon Buddy - 75 ML,
10353821253927,Mango So Goated - 75 ML,
10360642240807,Test Gift Card,
10421470036263,By the Beach Body Wash | 500ML,
10421494776103,Hustler Body Wash | 500ML,
10421500543271,Old Money Body Wash | 500ML,
10421509062951,Self Made Body Wash | 500ML,
10438646956327,Boardroom to Beach,
10438705512743,"Day Shift, Night Shift",
