product_id,title,cogs
10206999773479,Vetiver Oud - 100ml,346
10207000199463,Oud Honey - 100ml,380
10207001411879,Ivory Oud - 100ml,263
10228702183719,Love Drunk - 8ML Perfume Oil,105
10228702675239,Lights Off - 8ML Perfume Oil,327
10261833056551,The Love Drunk Ritual,82
10261834891559,Your + 1,166
10261835579687,Main Character Combo,298
10261835809063,Founder's Pick,102
10261836202279,You and Me Combo,210
10261836595495,The Dubai Drop,218
10261836988711,"""Gatekeep This""",291
10261837152551,BLABLIBLU Travel Pack of 4 perfumes,169
10261838037287,Try Them All,196
10261838332199,IT Couple Aesthetic,392
10261839970599,Couple Goals Flex,267
10261840625959,Bestseller Bodywash Combo,313
10261843837223,Grind o'clock.,292
10261844394279,Wash Off your Ex,315
10261844951335,"Fresh Morning, Drunk Evening",376
10261845737767,Trauma cleanse,256
10261847769383,Bro Code Bundle,344
10261848195367,Bestseller Bundle,137
10262262841639,Off Duty - 100ml,52
10266528645415,Midnight Cruise Car Perfume - 40ML,120
10266529038631,Backseat Confessions Car Perfume - 40ML,330
10266529268007,Passenger Princess Car Perfume - 40ML,156
10266529530151,One Hand Drive Car Perfume - 40ML,305
10268444590375,DEAL 13,243
10268445737255,DEAL 14,104
10268447113511,The Dubai Drop,191
10268448325927,Bestseller Combo,147
10268449734951,DEAL 17,249
10268451438887,FLASH 13,136
10273441612071,Aquatic Duo,227
10274453061927,The Dubai Drop,53
10277747294503,By the Beach Body Wash | 250ML,315
10283350262055,Founder's Pick,53
10283403804967,The Dubai Drop,387
10288382247207,Oud Unisex Perfume Gift Set For Men & Women  - 3 x 30ml,361
10288382902567,Perfume Gift Set For Women - 3 x 30ml,57
10288383230247,Perfume Gift Set For Men - 3 x 30ml,452
10290086740263,Cookie Crush Body Wash | 250ML,296
10296986468647,Self Made Body Wash | 250ML,274
10330011369767,Siblings Medal + Stickers,468
10330012156199,Siblings Medal + Stickers,437
10335026217255,Evil Eye Handmade Rakhi,142
10347822088487,On the Hills,250
10347826676007,Afternoon Shower,170
10347827560743,Hustlr,74
10347828183335,Cotton Kisses,228
10353807229223,Happy Banana - 75ml,500
10353813094695,Berry Baddie - 75 ML,71
10353818960167,Watermelon Buddy - 75 ML,365
10353821253927,Mango So Goated - 75 ML,137
10360642240807,Test Gift Card,454
10421470036263,By the Beach Body Wash | 500ML,110
10421494776103,Hustler Body Wash | 500ML,122
10421500543271,Old Money Body Wash | 500ML,143
10421509062951,Self Made Body Wash | 500ML,326
10438646956327,Boardroom to Beach,57
10438705512743,"Day Shift, Night Shift",371
